Date,Tweets,Preprocessing
2020-06-21 19:37:38,@nkangabeshi @bebuziiiiiiiii @Akanyange_kera @nlydia0 @kugasima_memes @ikinyarda @Ntubigarukeho @Musekere1 @__kabz__ 😂😂😂agahanika nagacyi mhn, kera 0 memes 1 kabz agahanika nagacyi mhn
2020-06-21 19:37:38,"@ditonugrohoaji Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/Wpo1LtuuJ4", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:38,Gempa😭😭,gempa 
2020-06-21 19:37:37,@BalMhndra Gue lagi senderan jatuh dari kursi wkwkw, gue lagi senderan jatuh dari kursi wkwkw
2020-06-21 19:37:37,@txtdarionlshop malah nitip yaAllah, malah nitip yaallah
2020-06-21 19:37:37,@atikamys Tak kiro aku sik halu ke wkwk, tak kiro aku sik halu ke wkwk
2020-06-21 19:37:37,"Untuk menghindari rasa iri terhadap ke uwu an orang2, gua memutuskan untuk jarang buka twitter. Sekian dan terima kasih✌️",untuk menghindari rasa iri terhadap ke uwu an orang2 gua memutuskan untuk jarang buka twitter sekian dan terima kasih 
2020-06-21 19:37:37,@AlterEgoThingy Anu nder.. Kyknya 3rd deh bkn 3th, anu nder kyknya 3rd deh bkn 3th
2020-06-21 19:37:37,"Coook sui ra lindu, lindu pisan gemeter sak sembarang",coook sui ra lindu lindu pisan gemeter sak sembarang
2020-06-21 19:37:37,"Gempa, ingatkanku di 2006",gempa ingatkanku di 2006
2020-06-21 19:37:37,@tshikinouta jiraiya, jiraiya
2020-06-21 19:37:37,"@sarawadt ohh, nga krasa disini 😢", ohh nga krasa disini 
2020-06-21 19:37:37,"RT @_AmirAsyraf_: Ingat kan single sebab memilih, rupa rupanya dah heartless.", amirasyraf ingat kan single sebab memilih rupa rupanya dah heartless 
2020-06-21 19:37:37,@space1rice orange!!!,1rice orange 
2020-06-21 19:37:37,YaAllah gempa.. Nangis.,yaallah gempa nangis 
2020-06-21 19:37:37,"@Sabtarinjn Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/mXaw8mjttx", halo saya bencana bot untuk melaporkan banjir di sekitarmu silakan balas dengan banjir 
2020-06-21 19:37:37,sama mama gaboleh bobo lagi:( https://t.co/WGPd6y4g1u,sama mama gaboleh bobo lagi 
2020-06-21 19:37:37,"Gais, barusan gempa kecil gitu ya??? cuma 1 - 2 detik si",gais barusan gempa kecil gitu ya cuma 1 2 detik si
2020-06-21 19:37:37,@chenlempoire Apaga, apaga
2020-06-21 19:37:37,Senin pagi dibuka dengan Gempa,senin pagi dibuka dengan gempa
2020-06-21 19:37:37,@oiqbal_ Merapi aman ra, merapi aman ra
2020-06-21 19:37:37,@irvbne DIMANAA, dimanaa
2020-06-21 19:37:37,"@Seftiris_ Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/HoFGDClq85", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,Otw tidur malah gempa gais...,otw tidur malah gempa gais 
2020-06-21 19:37:37,@yourcoupsoftea Kamu dom mana?, kamu dom mana 
2020-06-21 19:37:37,"@viantkptr Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/f0yOZP5EpJ", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,Langsung buka bmkg,langsung buka bmkg
2020-06-21 19:37:37,@dbwlsvan EH SAMA ANJIR, eh sama anjir
2020-06-21 19:37:37,"@R_you4 @SameerAstron @iamhamzaabbasi Ap esi behas krna chahte hain k na quran hadees ki taraf jana pare aur na apka joot logo tak pahunche, me ne apko esa krne nhi dena. Quran ki taraf ayen aur daleel den", you4 ap esi behas krna chahte hain k na quran hadees ki taraf jana pare aur na apka joot logo tak pahunche me ne apko esa krne nhi dena quran ki taraf ayen aur daleel den
2020-06-21 19:37:37,baru mau tdr malah ada gempa:'),baru mau tdr malah ada gempa 
2020-06-21 19:37:37,"@hanif_3000 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/b7HvcILEbf", 3000 halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,Gempa,gempa
2020-06-21 19:37:37,RT @txtdarionlshop: otw sanhok https://t.co/yAvqp6jgbs, otw sanhok 
2020-06-21 19:37:37,disini ga kerasa gempa..... apa gue nya yg ga ngeuh ya,disini ga kerasa gempa apa gue nya yg ga ngeuh ya
2020-06-21 19:37:37,Bbrc,bbrc
2020-06-21 19:37:37,Gemeteran anjir.. kenceng bgt sumpah 😭,gemeteran anjir kenceng bgt sumpah 
2020-06-21 19:37:37,"@hanawdyy Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/NSttm5onBF", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,@rlzprince Sini bapake. Kerasa bgt, sini bapake kerasa bgt
2020-06-21 19:37:37,"@WonosoboUp Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/MG0EiBMomw", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,Gokar! tukang uduk daerah karawang kota dimana ya?,gokar tukang uduk daerah karawang kota dimana ya 
2020-06-21 19:37:37,@bundlees bershka cielo🥰, bershka cielo 
2020-06-21 19:37:37,@_dividi_ di magelang barusan kerasa banget. ga sampe 10detik sih vid. lagian kemarin dah ada ujan abu, dividi di magelang barusan kerasa banget ga sampe 10detik sih vid lagian kemarin dah ada ujan abu
