Date,Tweets
2020-06-21 19:37:37,@oiqbal_ Merapi aman ra
2020-06-21 19:37:37,@irvbne DIMANAA
2020-06-21 19:37:37,"@Seftiris_ Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/HoFGDClq85"
2020-06-21 19:37:37,Otw tidur malah gempa gais...
2020-06-21 19:37:37,@yourcoupsoftea Kamu dom mana?
2020-06-21 19:37:37,"@viantkptr Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/f0yOZP5EpJ"
2020-06-21 19:37:37,Langsung buka bmkg
2020-06-21 19:37:37,@dbwlsvan EH SAMA ANJIR
2020-06-21 19:37:37,"@R_you4 @SameerAstron @iamhamzaabbasi Ap esi behas krna chahte hain k na quran hadees ki taraf jana pare aur na apka joot logo tak pahunche, me ne apko esa krne nhi dena. Quran ki taraf ayen aur daleel den"
2020-06-21 19:37:37,baru mau tdr malah ada gempa:')
2020-06-21 19:37:37,"@hanif_3000 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/b7HvcILEbf"
2020-06-21 19:37:37,Gempa
2020-06-21 19:37:37,RT @txtdarionlshop: otw sanhok https://t.co/yAvqp6jgbs
2020-06-21 19:37:37,disini ga kerasa gempa..... apa gue nya yg ga ngeuh ya
2020-06-21 19:37:37,Bbrc
2020-06-21 19:37:37,Gemeteran anjir.. kenceng bgt sumpah 😭
2020-06-21 19:37:37,"@hanawdyy Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/NSttm5onBF"
2020-06-21 19:37:37,@rlzprince Sini bapake. Kerasa bgt
2020-06-21 19:37:37,"@WonosoboUp Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/MG0EiBMomw"
2020-06-21 19:37:37,Gokar! tukang uduk daerah karawang kota dimana ya?
2020-06-21 19:37:37,@bundlees bershka cielo🥰
2020-06-21 19:37:37,@_dividi_ di magelang barusan kerasa banget. ga sampe 10detik sih vid. lagian kemarin dah ada ujan abu
2020-06-21 19:37:37,"@madbreakerr WKWKWKW gapapa oqtyyyy, kan ak juga suka haikyuu ✌☺"
2020-06-21 19:37:37,@Chocooreo00 dimanaa
2020-06-21 19:37:37,@iyimisinkankaa kimi dicek onu da de dkndjdjdbdb
2020-06-21 19:37:37,RT @Gingerpk_: Rupanzel but Indian ? https://t.co/JBXwJhHI1D
2020-06-21 19:37:37,@infojogja nang purworejo yo kroso 😱
2020-06-21 19:37:37,Yatuhan kaget goyang😭
2020-06-21 19:37:37,Guysss gempanyaa gede bgt😥😬
2020-06-21 19:37:37,Linduuuuuu
2020-06-21 19:37:37,Jubjub and his spice umuntu womuntu umnandi.. #Uyajola99
2020-06-21 19:37:37,"yaa gtulah pokonyaa, terus yaa kalo bisa masuk sekolah itu jangan jam 6, kalo bisa yah jadi jam 8 gtu"
2020-06-21 19:37:37,@k1mdoyie disiniiiii
2020-06-21 19:37:37,RT @ayamgeqrek: “kamu galau terus kenapa sih?” https://t.co/MMh6BTKfV8
2020-06-21 19:37:37,RT @Evaa0895: Ada cwo yg suka begadang ga https://t.co/J6mV9SiVov
2020-06-21 19:37:37,@yudhidwi_ aku baru push rank kerasa bet dah
2020-06-21 19:37:37,@Najmahfairus11 @semestaaaku Sedih dong 🥺
2020-06-21 19:37:37,"#Uyajola99Sundays #Uyajola99 
Umuntu womuntu umnandi
Shoots fired by Jub Jub... https://t.co/zol5bRrEYY"
2020-06-21 19:37:37,"@A_denny15 eh yg bener? banyak yg ngetwit, stay safe yaaaa"
2020-06-21 19:37:37,RT @ayamgeqrek: “kamu galau terus kenapa sih?” https://t.co/MMh6BTKfV8
2020-06-21 19:37:37,RT @JogjaUpdate: gempa
2020-06-21 19:37:37,"@Unitrevoso_lol Dinah Jane 
A"
2020-06-21 19:37:37,astagfirullah
2020-06-21 19:37:37,RT @BamBam1A: @seungmintop ...................hi boss
2020-06-21 19:37:37,@habib_ruzaqq hahaha sesekali
2020-06-21 19:37:37,astagfirullahaladzim gempa
2020-06-21 19:37:37,@JogjaUpdate Kroso Barter Daerah Godean.
2020-06-21 19:37:37,gede juga weh ini
2020-06-21 19:37:37,Astagfirrullah..kerasa bgt gempa
2020-06-21 19:37:37,@GamasAndika Engga
2020-06-21 19:37:37,@fluffyna1 ak jogja din...
2020-06-21 19:37:37,@nochutopia Aku juga krasa
2020-06-21 19:37:37,"Tapi hambanya suka lalai dalam menjalankan sholat, suku ngeluh, banyak dosa."
2020-06-21 19:37:37,@moodewji Pamoja Sana boss @Mohammed Dewji Mo
2020-06-21 19:37:37,RT @sevillaisqueen: LPM KAROL ME STALKEO KQKZKSKSMS https://t.co/wOmn4SPRFm
2020-06-21 19:37:37,Kerasa gempa 😥
2020-06-21 19:37:37,"@ljaureguiibaby B
Dinah Jane"
2020-06-21 19:37:37,@hobarihyun Gempa kakk😭😭😭 aku aja pastidur ke goncang
2020-06-21 19:37:37,RT @carlasthtc: dora zaman upsr                 dora zaman spm https://t.co/4LUHz0gTkc
2020-06-21 19:37:37,gempaaaa 🤯
2020-06-21 19:37:37,Habis gempa ya daerah jogja???
2020-06-21 19:37:37,HAJAAKSKDJJFFJG https://t.co/m4ygl6ke85
2020-06-21 19:37:37,gempa dmn hey
2020-06-21 19:37:37,"@thisisesks Wey aku lagi turu njuk mlayu, kagum aku ro aku dewe"
2020-06-21 19:37:37,@COWOBETE2 jogjaa kalau aku
2020-06-21 19:37:37,Gempa. Kaget
2020-06-21 19:37:37,"@chasanahsrius Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/JgXHsnyMPM"
2020-06-21 19:37:37,@rmysamh İlahi adalet.
2020-06-21 19:37:37,"@FaisalZeqlyw @Dwiantono_J Kerasa sampe kebangun :"")"
2020-06-21 19:37:37,"Kaget bgt barusan gempaa, cuma bentar tapi bener bener kerasa"
2020-06-21 19:37:37,"@DeeyaaSteele Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/LjLube4zpd"
2020-06-21 19:37:37,@Diajeng_budi Tekan kene ki
2020-06-21 19:37:37,@kajvlv Iyakkk
